cell_name,statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
c4,mean,0.00021505355886022515,0.0006440264419666921,0.00048637709119452244,0.0003152816478122155,0.0002276487510406859,0.0011014784101855341,0.0011014784101855341,0.0011014784101855341,0.0011014784101855341,0.0011014784101855341,-0.3259852290013814,0.43837898086392035,-0.04984272668577157,0.00021505355886022515,539.1451187335092,1.3043095866314864,0.27040121241725706,0.5013328098985492,-0.0007546710660557495,0.05924973648496909,0.053585722796756545,0.05924973660128203,0.05358572282624433,0.5018939965299292,0.5000305545693005,0.49951383425809254,0.33619030080381995,0.004571716283741462
c17,mean,0.00013495997032569447,0.00040457343887423045,0.000316622691292876,0.00022867194371152156,0.00014574377193111708,0.00017590149516270889,0.00017590149516270889,0.00017590149516270889,0.00017590149516270889,0.00017590149516270889,-0.19454257521923363,0.4477614213911973,NaN,0.00013495997032569447,543.6939313984169,1.0026385224274406,0.2738511791884942,0.5027476316347731,0.008558650302436204,0.02600194001897986,0.04204288030513411,0.026001939918229924,0.04204288029039022,0.5028423484783437,0.5018375285917284,0.5238793628250678,0.17265691393427593,0.005645893824354541
c18,mean,0.0005477694166816379,0.0015316901408450707,0.0010069394367427842,0.0006764707121970327,0.000564956251438683,0.0032859691624830835,0.0032859691624830835,0.0032859691624830835,0.0032859691624830835,0.0032859691624830835,-0.1556266371033567,0.3793155411619469,NaN,0.0005477694166816379,360.13204225352115,2.4982394366197185,0.18079583138757085,0.5007378465889876,-0.0013291107375147928,0.034950516607840286,0.033008412770356356,0.034950516638173855,0.03300841277855462,0.5026439446538385,0.5010879537790119,0.49585973145209283,0.7901688833022672,0.015585827554284977
c19,mean,0.0002138620215040209,0.0005748907595873294,0.0004138961707943417,0.0003263539376143214,0.00022729603578445744,0.0007665151959347209,0.0007665151959347209,0.0007665151959347209,0.0007665151959347209,0.0007665151959347209,-0.27419026419175263,0.44096772578771515,-0.05027171340318667,0.0002138620215040209,650.1776605101144,1.098504837291117,0.32598382851040997,0.5013295462898911,-0.0072299228724808555,0.09281206562240316,0.05846466014625319,0.09281206508507017,0.05846466011676541,0.5007994467689123,0.5003523444637054,0.4883239000935202,0.04526595676969342,0.0023308792391360644
c20,mean,0.0002955958009411584,0.0005928734801974239,0.0004809265460673911,0.00036302214999398095,0.0003074268134165851,0.00030431142647921586,0.00030431142647921586,0.00030431142647921586,0.00030431142647921586,0.00030431142647921586,-0.15601583540442002,0.4285025973602739,-0.06431546803623482,0.0002955958009411584,530.175176056338,1.0484154929577465,0.2658744244335116,0.5011340955818183,-0.004208514854121538,0.03354777812914313,0.025291098456364125,0.033547778068066074,0.02529109844652621,0.5010802048204721,0.4996528466574092,0.4951886716425313,0.09190198814632483,0.0062070229151548395
c22,mean,0.00018136377948059507,0.0003244405355223297,0.00028479706422446547,0.0002496167651919237,0.00019169191833172508,0.00005653976630229928,0.00005653976630229928,0.00005653976630229928,0.00005653976630229928,0.00005653976630229928,-0.2120730076555952,0.44226018640289344,-0.04319539357285651,0.00018136377948059507,611.5672823218997,0.899736147757256,0.30705399009119355,0.5018021352340897,0.007207646612779822,0.01634427916539936,0.026767561625830154,0.016344279166013692,0.02676756161272447,0.503315750919151,0.5011529515327178,0.5151020793351324,0.10826828724496551,0.00611005643830808
c23,mean,0.00048584124173699445,0.00103385071962933,0.0007198608436034408,0.0005507803262292467,0.0004892411924278143,0.002252957262269694,0.002252957262269694,0.002252957262269694,0.002252957262269694,0.002252957262269694,-0.14856920875013088,0.4347324709206052,-0.07221222440302963,0.00048584124173699445,351.50835532102025,1.5787159190853122,0.17649257097589643,0.5004183037966871,-0.0012807215420814295,0.03073202191596882,0.033887189149483056,0.030732021766891677,0.033887189110166006,0.5020835122129321,0.5007630906991117,0.49635317678564383,0.7558351000344918,0.001156518889907471
c24,mean,0.0002011605741135597,0.0004936469619566234,0.0004372468000155644,0.00031213668582020127,0.00021400428577266105,0.00210139464756879,0.00210139464756879,0.00210139464756879,0.00210139464756879,0.00210139464756879,-0.28465408848517587,0.4403725384276363,NaN,0.0002011605741135597,559.3430079155672,1.1882145998240985,0.2804362489900143,0.5010643997160894,0.007484116283990361,0.026687777058115734,0.03800990103712025,0.026687777070811866,0.03800990101582352,0.5023612107035363,0.5012171548049187,0.5150479319971317,0.5405178951337721,0.004731043485096469
c31,mean,0.0004026336927948845,0.0008495148279188545,0.000626889498103551,0.0005122486549589052,0.0004154048602742201,0.0012527168572826484,0.0012527168572826484,0.0012527168572826484,0.0012527168572826484,0.0012527168572826484,-0.23750481910652688,0.4286528108783097,-0.0657311177057091,0.0004026336927948845,549.1917326297273,1.1556728232189974,0.27543516435201226,0.5013431408002319,0.0006202810899872192,0.07014787337999126,0.049686825368143846,0.0701478736093407,0.049686825364867425,0.5004776568745073,0.5003809651995058,0.49997640723129966,0.4406270261834511,0.0028765383944279648
c38,mean,0.0001415913339506715,0.0002915933098591549,0.00023553326538176426,0.00017478328646635568,0.00014308239844421094,0.0018710301021817178,0.0018710301021817178,0.0018710301021817178,0.0018710301021817178,0.0018710301021817178,-0.18656230016404154,0.4418356220141436,NaN,0.0001415913339506715,496.8882042253521,0.7860915492957746,0.24963085129740803,0.5014801022654483,-0.014586564501180066,0.024254654566134314,0.03287298302494095,0.024254654485791345,0.03287298303641851,0.49920030747867483,0.49800541807181126,0.48902979939496133,0.6516309945796478,0.005512416731222038
